Year10y,CAgeF5y,CAgeM5y,SibStrF,SibStrM,NofMar,Pop_atRiskF,Pop_atRiskM
1980-1989,30-34,30-34,Eldest daughter w/o brothers,Only child,1,664.5,1058.5
1980-1989,30-34,30-34,Eldest daughter w/o brothers,Eldest son w/o brothers,11,659.5,5520.5
1980-1989,30-34,30-34,Eldest daughter w/o brothers,Eldest son w/ brothers,7,661.5,4805.5
1980-1989,30-34,30-34,Eldest daughter w/o brothers,Younger son,19,655.5,8634.5
1980-1989,30-34,30-34,Younger daughter w/o brothers,Only child,4,909,1057
1980-1989,30-34,30-34,Younger daughter w/o brothers,Eldest son w/o brothers,13,904.5,5519.5
1980-1989,30-34,30-34,Younger daughter w/o brothers,Eldest son w/ brothers,11,905.5,4803.5
1980-1989,30-34,30-34,Younger daughter w/o brothers,Younger son,23,899.5,8632.5
1980-1989,30-34,30-34,Daughter w/ brothers,Only child,4,4134,1057
1980-1989,30-34,30-34,Daughter w/ brothers,Eldest son w/o brothers,65,4103.5,5493.5
1980-1989,30-34,30-34,Daughter w/ brothers,Eldest son w/ brothers,67,4102.5,4775.5
1980-1989,30-34,30-34,Daughter w/ brothers,Younger son,104,4084,8592
1980-1989,30-34,35-39,Only child,Only child,1,491.5,249.5
1980-1989,30-34,35-39,Only child,Eldest son w/o brothers,1,491.5,1070.5
1980-1989,30-34,35-39,Only child,Eldest son w/ brothers,2,491,1082
1980-1989,30-34,35-39,Only child,Younger son,9,487.5,2090.5
1980-1989,30-34,35-39,Eldest daughter w/o brothers,Only child,1,664.5,249.5
1980-1989,30-34,35-39,Eldest daughter w/o brothers,Eldest son w/o brothers,2,664,1070
1980-1989,30-34,35-39,Eldest daughter w/o brothers,Eldest son w/ brothers,6,662,1080
1980-1989,30-34,35-39,Eldest daughter w/o brothers,Younger son,8,661,2091
1980-1989,30-34,35-39,Younger daughter w/o brothers,Only child,1,910.5,249.5
1980-1989,30-34,35-39,Younger daughter w/o brothers,Eldest son w/o brothers,10,906,1066
1980-1989,30-34,35-39,Younger daughter w/o brothers,Eldest son w/ brothers,2,910,1082
1980-1989,30-34,35-39,Younger daughter w/o brothers,Younger son,13,904.5,2088.5
1980-1989,30-34,35-39,Daughter w/ brothers,Only child,12,4130,244
1980-1989,30-34,35-39,Daughter w/ brothers,Eldest son w/o brothers,29,4121.5,1056.5
1980-1989,30-34,35-39,Daughter w/ brothers,Eldest son w/ brothers,32,4120,1067
1980-1989,30-34,35-39,Daughter w/ brothers,Younger son,45,4113.5,2072.5
1980-1989,30-34,40-44,Only child,Only child,0,492,59
1980-1989,30-34,40-44,Only child,Eldest son w/o brothers,1,491.5,184.5
1980-1989,30-34,40-44,Only child,Eldest son w/ brothers,0,492,219
1980-1989,30-34,40-44,Only child,Younger son,1,491.5,383.5
1980-1989,30-34,40-44,Eldest daughter w/o brothers,Only child,0,665,59
1980-1989,30-34,40-44,Eldest daughter w/o brothers,Eldest son w/o brothers,0,665,185
1980-1989,30-34,40-44,Eldest daughter w/o brothers,Eldest son w/ brothers,0,665,219
1980-1989,30-34,40-44,Eldest daughter w/o brothers,Younger son,2,664,383
1980-1989,30-34,40-44,Younger daughter w/o brothers,Only child,0,911,59
1980-1989,30-34,40-44,Younger daughter w/o brothers,Eldest son w/o brothers,0,911,185
1980-1989,30-34,40-44,Younger daughter w/o brothers,Eldest son w/ brothers,3,909.5,217.5
1980-1989,30-34,40-44,Younger daughter w/o brothers,Younger son,1,910.5,383.5
1980-1989,30-34,40-44,Daughter w/ brothers,Only child,2,4135,58
1980-1989,30-34,40-44,Daughter w/ brothers,Eldest son w/o brothers,5,4133.5,182.5
1980-1989,30-34,40-44,Daughter w/ brothers,Eldest son w/ brothers,4,4134,217
1980-1989,30-34,40-44,Daughter w/ brothers,Younger son,4,4134,382
1980-1989,30-34,45-49,Only child,Only child,0,492,4
1980-1989,30-34,45-49,Only child,Eldest son w/o brothers,0,492,13
1980-1989,30-34,45-49,Only child,Eldest son w/ brothers,0,492,30
1980-1989,30-34,45-49,Only child,Younger son,0,492,40
1980-1989,30-34,45-49,Eldest daughter w/o brothers,Only child,0,665,4
1980-1989,30-34,45-49,Eldest daughter w/o brothers,Eldest son w/o brothers,0,665,13
1980-1989,30-34,45-49,Eldest daughter w/o brothers,Eldest son w/ brothers,0,665,30
1980-1989,30-34,45-49,Eldest daughter w/o brothers,Younger son,0,665,40
1980-1989,30-34,45-49,Younger daughter w/o brothers,Only child,0,911,4
1980-1989,30-34,45-49,Younger daughter w/o brothers,Eldest son w/o brothers,0,911,13
1980-1989,30-34,45-49,Younger daughter w/o brothers,Eldest son w/ brothers,0,911,30
1980-1989,30-34,45-49,Younger daughter w/o brothers,Younger son,0,911,40
1980-1989,30-34,45-49,Daughter w/ brothers,Only child,0,4136,4
1980-1989,30-34,45-49,Daughter w/ brothers,Eldest son w/o brothers,0,4136,13
1980-1989,30-34,45-49,Daughter w/ brothers,Eldest son w/ brothers,0,4136,30
1980-1989,30-34,45-49,Daughter w/ brothers,Younger son,1,4135.5,39.5
1980-1989,35-39,15-19,Only child,Only child,0,112,8697
1980-1989,35-39,15-19,Only child,Eldest son w/o brothers,0,112,40052
1980-1989,35-39,15-19,Only child,Eldest son w/ brothers,0,112,31116
1980-1989,35-39,15-19,Only child,Younger son,0,112,34007
1980-1989,35-39,15-19,Eldest daughter w/o brothers,Only child,0,153,8697
1980-1989,35-39,15-19,Eldest daughter w/o brothers,Eldest son w/o brothers,0,153,40052
1980-1989,35-39,15-19,Eldest daughter w/o brothers,Eldest son w/ brothers,0,153,31116
1980-1989,35-39,15-19,Eldest daughter w/o brothers,Younger son,0,153,34007
1980-1989,35-39,15-19,Younger daughter w/o brothers,Only child,0,206,8697
1980-1989,35-39,15-19,Younger daughter w/o brothers,Eldest son w/o brothers,0,206,40052
1980-1989,35-39,15-19,Younger daughter w/o brothers,Eldest son w/ brothers,0,206,31116
1980-1989,35-39,15-19,Younger daughter w/o brothers,Younger son,0,206,34007
1980-1989,35-39,15-19,Daughter w/ brothers,Only child,0,1313,8697
1980-1989,35-39,15-19,Daughter w/ brothers,Eldest son w/o brothers,0,1313,40052
1980-1989,35-39,15-19,Daughter w/ brothers,Eldest son w/ brothers,0,1313,31116
1980-1989,35-39,15-19,Daughter w/ brothers,Younger son,0,1313,34007
1980-1989,35-39,20-24,Only child,Only child,0,112,7406
1980-1989,35-39,20-24,Only child,Eldest son w/o brothers,0,112,33755
1980-1989,35-39,20-24,Only child,Eldest son w/ brothers,0,112,26002
1980-1989,35-39,20-24,Only child,Younger son,0,112,30499
1980-1989,35-39,20-24,Eldest daughter w/o brothers,Only child,0,153,7406
1980-1989,35-39,20-24,Eldest daughter w/o brothers,Eldest son w/o brothers,0,153,33755
1980-1989,35-39,20-24,Eldest daughter w/o brothers,Eldest son w/ brothers,0,153,26002
1980-1989,35-39,20-24,Eldest daughter w/o brothers,Younger son,0,153,30499
1980-1989,35-39,20-24,Younger daughter w/o brothers,Only child,0,206,7406
1980-1989,35-39,20-24,Younger daughter w/o brothers,Eldest son w/o brothers,0,206,33755
1980-1989,35-39,20-24,Younger daughter w/o brothers,Eldest son w/ brothers,0,206,26002
1980-1989,35-39,20-24,Younger daughter w/o brothers,Younger son,0,206,30499
1980-1989,35-39,20-24,Daughter w/ brothers,Only child,0,1313,7406
1980-1989,35-39,20-24,Daughter w/ brothers,Eldest son w/o brothers,0,1313,33755
1980-1989,35-39,20-24,Daughter w/ brothers,Eldest son w/ brothers,0,1313,26002
1980-1989,35-39,20-24,Daughter w/ brothers,Younger son,0,1313,30499
1980-1989,35-39,25-29,Only child,Only child,0,112,3929
1980-1989,35-39,25-29,Only child,Eldest son w/o brothers,0,112,19083
1980-1989,35-39,25-29,Only child,Eldest son w/ brothers,0,112,14924
1980-1989,35-39,25-29,Only child,Younger son,0,112,20944
1980-1989,35-39,25-29,Eldest daughter w/o brothers,Only child,0,153,3929
1980-1989,35-39,25-29,Eldest daughter w/o brothers,Eldest son w/o brothers,0,153,19083
1980-1989,35-39,25-29,Eldest daughter w/o brothers,Eldest son w/ brothers,0,153,14924
1980-1989,35-39,25-29,Eldest daughter w/o brothers,Younger son,1,152.5,20943.5
1980-1989,35-39,25-29,Younger daughter w/o brothers,Only child,0,206,3929
1980-1989,35-39,25-29,Younger daughter w/o brothers,Eldest son w/o brothers,0,206,19083
1980-1989,35-39,25-29,Younger daughter w/o brothers,Eldest son w/ brothers,0,206,14924
1980-1989,35-39,25-29,Younger daughter w/o brothers,Younger son,0,206,20944
1980-1989,35-39,25-29,Daughter w/ brothers,Only child,1,1312.5,3928.5
1980-1989,35-39,25-29,Daughter w/ brothers,Eldest son w/o brothers,1,1312.5,19082.5
1980-1989,35-39,25-29,Daughter w/ brothers,Eldest son w/ brothers,2,1312,14923
1980-1989,35-39,25-29,Daughter w/ brothers,Younger son,2,1312,20943
1980-1989,35-39,30-34,Only child,Only child,0,112,1059
1980-1989,35-39,30-34,Only child,Eldest son w/o brothers,0,112,5526
1980-1989,35-39,30-34,Only child,Eldest son w/ brothers,0,112,4809
1980-1989,35-39,30-34,Only child,Younger son,1,111.5,8643.5
1980-1989,35-39,30-34,Eldest daughter w/o brothers,Only child,0,153,1059
1980-1989,35-39,30-34,Eldest daughter w/o brothers,Eldest son w/o brothers,0,153,5526
1980-1989,35-39,30-34,Eldest daughter w/o brothers,Eldest son w/ brothers,0,153,4809
1980-1989,35-39,30-34,Eldest daughter w/o brothers,Younger son,0,153,8644
1980-1989,35-39,30-34,Younger daughter w/o brothers,Only child,0,206,1059
1980-1989,35-39,30-34,Younger daughter w/o brothers,Eldest son w/o brothers,0,206,5526
1980-1989,35-39,30-34,Younger daughter w/o brothers,Eldest son w/ brothers,0,206,4809
1980-1989,35-39,30-34,Younger daughter w/o brothers,Younger son,1,205.5,8643.5
1980-1989,35-39,30-34,Daughter w/ brothers,Only child,1,1312.5,1058.5
1980-1989,35-39,30-34,Daughter w/ brothers,Eldest son w/o brothers,2,1312,5525
1980-1989,35-39,30-34,Daughter w/ brothers,Eldest son w/ brothers,6,1310,4806
1980-1989,35-39,30-34,Daughter w/ brothers,Younger son,13,1306.5,8637.5
1980-1989,35-39,35-39,Only child,Only child,1,111.5,249.5
1980-1989,35-39,35-39,Only child,Eldest son w/o brothers,0,112,1071
1980-1989,35-39,35-39,Only child,Eldest son w/ brothers,0,112,1083
1980-1989,35-39,35-39,Only child,Younger son,1,111.5,2094.5
1980-1989,35-39,35-39,Eldest daughter w/o brothers,Only child,1,152.5,249.5
1980-1989,35-39,35-39,Eldest daughter w/o brothers,Eldest son w/o brothers,1,152.5,1070.5
1980-1989,35-39,35-39,Eldest daughter w/o brothers,Eldest son w/ brothers,1,152.5,1082.5
1980-1989,35-39,35-39,Eldest daughter w/o brothers,Younger son,1,152.5,2094.5
1980-1989,35-39,35-39,Younger daughter w/o brothers,Only child,1,205.5,249.5
1980-1989,35-39,35-39,Younger daughter w/o brothers,Eldest son w/o brothers,2,205,1070
1980-1989,35-39,35-39,Younger daughter w/o brothers,Eldest son w/ brothers,0,206,1083
1980-1989,35-39,35-39,Younger daughter w/o brothers,Younger son,2,205,2094
1980-1989,35-39,35-39,Daughter w/ brothers,Only child,2,1312,249
1980-1989,35-39,35-39,Daughter w/ brothers,Eldest son w/o brothers,8,1309,1067
1980-1989,35-39,35-39,Daughter w/ brothers,Eldest son w/ brothers,11,1307.5,1077.5
1980-1989,35-39,35-39,Daughter w/ brothers,Younger son,18,1304,2086
1980-1989,35-39,40-44,Only child,Only child,0,112,59
1980-1989,35-39,40-44,Only child,Eldest son w/o brothers,0,112,185
1980-1989,35-39,40-44,Only child,Eldest son w/ brothers,0,112,219
1980-1989,35-39,40-44,Only child,Younger son,0,112,384
1980-1989,35-39,40-44,Eldest daughter w/o brothers,Only child,0,153,59
1980-1989,35-39,40-44,Eldest daughter w/o brothers,Eldest son w/o brothers,1,152.5,184.5
1980-1989,35-39,40-44,Eldest daughter w/o brothers,Eldest son w/ brothers,0,153,219
1980-1989,35-39,40-44,Eldest daughter w/o brothers,Younger son,2,152,383
1980-1989,35-39,40-44,Younger daughter w/o brothers,Only child,0,206,59
1980-1989,35-39,40-44,Younger daughter w/o brothers,Eldest son w/o brothers,0,206,185
1980-1989,35-39,40-44,Younger daughter w/o brothers,Eldest son w/ brothers,1,205.5,218.5
1980-1989,35-39,40-44,Younger daughter w/o brothers,Younger son,1,205.5,383.5
1980-1989,35-39,40-44,Daughter w/ brothers,Only child,0,1313,59
1980-1989,35-39,40-44,Daughter w/ brothers,Eldest son w/o brothers,3,1311.5,183.5
1980-1989,35-39,40-44,Daughter w/ brothers,Eldest son w/ brothers,1,1312.5,218.5
1980-1989,35-39,40-44,Daughter w/ brothers,Younger son,5,1310.5,381.5
1980-1989,35-39,45-49,Only child,Only child,0,112,4
1980-1989,35-39,45-49,Only child,Eldest son w/o brothers,0,112,13
1980-1989,35-39,45-49,Only child,Eldest son w/ brothers,0,112,30
1980-1989,35-39,45-49,Only child,Younger son,0,112,40
1980-1989,35-39,45-49,Eldest daughter w/o brothers,Only child,0,153,4
1980-1989,35-39,45-49,Eldest daughter w/o brothers,Eldest son w/o brothers,0,153,13
1980-1989,35-39,45-49,Eldest daughter w/o brothers,Eldest son w/ brothers,0,153,30
1980-1989,35-39,45-49,Eldest daughter w/o brothers,Younger son,2,152,39
1980-1989,35-39,45-49,Younger daughter w/o brothers,Only child,0,206,4
1980-1989,35-39,45-49,Younger daughter w/o brothers,Eldest son w/o brothers,0,206,13
1980-1989,35-39,45-49,Younger daughter w/o brothers,Eldest son w/ brothers,0,206,30
1980-1989,35-39,45-49,Younger daughter w/o brothers,Younger son,0,206,40
1980-1989,35-39,45-49,Daughter w/ brothers,Only child,0,1313,4
1980-1989,35-39,45-49,Daughter w/ brothers,Eldest son w/o brothers,0,1313,13
1980-1989,35-39,45-49,Daughter w/ brothers,Eldest son w/ brothers,2,1312,29
1980-1989,35-39,45-49,Daughter w/ brothers,Younger son,0,1313,40
1980-1989,40-44,15-19,Only child,Only child,0,20,8697
1980-1989,40-44,15-19,Only child,Eldest son w/o brothers,0,20,40052
1980-1989,40-44,15-19,Only child,Eldest son w/ brothers,0,20,31116
1980-1989,40-44,15-19,Only child,Younger son,0,20,34007
1980-1989,40-44,15-19,Eldest daughter w/o brothers,Only child,0,33,8697
1980-1989,40-44,15-19,Eldest daughter w/o brothers,Eldest son w/o brothers,0,33,40052
1980-1989,40-44,15-19,Eldest daughter w/o brothers,Eldest son w/ brothers,0,33,31116
1980-1989,40-44,15-19,Eldest daughter w/o brothers,Younger son,0,33,34007
1980-1989,40-44,15-19,Younger daughter w/o brothers,Only child,0,47,8697
1980-1989,40-44,15-19,Younger daughter w/o brothers,Eldest son w/o brothers,0,47,40052
1980-1989,40-44,15-19,Younger daughter w/o brothers,Eldest son w/ brothers,0,47,31116
1980-1989,40-44,15-19,Younger daughter w/o brothers,Younger son,0,47,34007
1980-1989,40-44,15-19,Daughter w/ brothers,Only child,0,397,8697
1980-1989,40-44,15-19,Daughter w/ brothers,Eldest son w/o brothers,0,397,40052
1980-1989,40-44,15-19,Daughter w/ brothers,Eldest son w/ brothers,0,397,31116
1980-1989,40-44,15-19,Daughter w/ brothers,Younger son,0,397,34007
1980-1989,40-44,20-24,Only child,Only child,0,20,7406
1980-1989,40-44,20-24,Only child,Eldest son w/o brothers,0,20,33755
1980-1989,40-44,20-24,Only child,Eldest son w/ brothers,0,20,26002
1980-1989,40-44,20-24,Only child,Younger son,0,20,30499
1980-1989,40-44,20-24,Eldest daughter w/o brothers,Only child,0,33,7406
1980-1989,40-44,20-24,Eldest daughter w/o brothers,Eldest son w/o brothers,0,33,33755
1980-1989,40-44,20-24,Eldest daughter w/o brothers,Eldest son w/ brothers,0,33,26002
1980-1989,40-44,20-24,Eldest daughter w/o brothers,Younger son,0,33,30499
1980-1989,40-44,20-24,Younger daughter w/o brothers,Only child,0,47,7406
1980-1989,40-44,20-24,Younger daughter w/o brothers,Eldest son w/o brothers,0,47,33755
1980-1989,40-44,20-24,Younger daughter w/o brothers,Eldest son w/ brothers,0,47,26002
1980-1989,40-44,20-24,Younger daughter w/o brothers,Younger son,0,47,30499
1980-1989,40-44,20-24,Daughter w/ brothers,Only child,0,397,7406
1980-1989,40-44,20-24,Daughter w/ brothers,Eldest son w/o brothers,0,397,33755
1980-1989,40-44,20-24,Daughter w/ brothers,Eldest son w/ brothers,0,397,26002
1980-1989,40-44,20-24,Daughter w/ brothers,Younger son,0,397,30499
1980-1989,40-44,25-29,Only child,Only child,0,20,3929
1980-1989,40-44,25-29,Only child,Eldest son w/o brothers,0,20,19083
1980-1989,40-44,25-29,Only child,Eldest son w/ brothers,0,20,14924
1980-1989,40-44,25-29,Only child,Younger son,0,20,20944
1980-1989,40-44,25-29,Eldest daughter w/o brothers,Only child,0,33,3929
1980-1989,40-44,25-29,Eldest daughter w/o brothers,Eldest son w/o brothers,0,33,19083
1980-1989,40-44,25-29,Eldest daughter w/o brothers,Eldest son w/ brothers,0,33,14924
1980-1989,40-44,25-29,Eldest daughter w/o brothers,Younger son,0,33,20944
1980-1989,40-44,25-29,Younger daughter w/o brothers,Only child,0,47,3929
1980-1989,40-44,25-29,Younger daughter w/o brothers,Eldest son w/o brothers,0,47,19083
1980-1989,40-44,25-29,Younger daughter w/o brothers,Eldest son w/ brothers,0,47,14924
1980-1989,40-44,25-29,Younger daughter w/o brothers,Younger son,0,47,20944
1980-1989,40-44,25-29,Daughter w/ brothers,Only child,0,397,3929
1980-1989,40-44,25-29,Daughter w/ brothers,Eldest son w/o brothers,0,397,19083
1980-1989,40-44,25-29,Daughter w/ brothers,Eldest son w/ brothers,0,397,14924
1980-1989,40-44,25-29,Daughter w/ brothers,Younger son,0,397,20944
1980-1989,40-44,30-34,Only child,Only child,0,20,1059
1980-1989,40-44,30-34,Only child,Eldest son w/o brothers,0,20,5526
1980-1989,40-44,30-34,Only child,Eldest son w/ brothers,0,20,4809
1980-1989,40-44,30-34,Only child,Younger son,1,19.5,8643.5
1980-1989,40-44,30-34,Eldest daughter w/o brothers,Only child,0,33,1059
1980-1989,40-44,30-34,Eldest daughter w/o brothers,Eldest son w/o brothers,0,33,5526
1980-1989,40-44,30-34,Eldest daughter w/o brothers,Eldest son w/ brothers,0,33,4809
1980-1989,40-44,30-34,Eldest daughter w/o brothers,Younger son,0,33,8644
1980-1989,40-44,30-34,Younger daughter w/o brothers,Only child,0,47,1059
1980-1989,40-44,30-34,Younger daughter w/o brothers,Eldest son w/o brothers,0,47,5526
1980-1989,40-44,30-34,Younger daughter w/o brothers,Eldest son w/ brothers,0,47,4809
1980-1989,40-44,30-34,Younger daughter w/o brothers,Younger son,0,47,8644
1980-1989,40-44,30-34,Daughter w/ brothers,Only child,0,397,1059
1980-1989,40-44,30-34,Daughter w/ brothers,Eldest son w/o brothers,0,397,5526
1980-1989,40-44,30-34,Daughter w/ brothers,Eldest son w/ brothers,0,397,4809
1980-1989,40-44,30-34,Daughter w/ brothers,Younger son,1,396.5,8643.5
1980-1989,40-44,35-39,Only child,Only child,0,20,250
1980-1989,40-44,35-39,Only child,Eldest son w/o brothers,0,20,1071
1980-1989,40-44,35-39,Only child,Eldest son w/ brothers,0,20,1083
1980-1989,40-44,35-39,Only child,Younger son,0,20,2095
1980-1989,40-44,35-39,Eldest daughter w/o brothers,Only child,0,33,250
1980-1989,40-44,35-39,Eldest daughter w/o brothers,Eldest son w/o brothers,0,33,1071
1980-1989,40-44,35-39,Eldest daughter w/o brothers,Eldest son w/ brothers,0,33,1083
1980-1989,40-44,35-39,Eldest daughter w/o brothers,Younger son,0,33,2095
1980-1989,40-44,35-39,Younger daughter w/o brothers,Only child,0,47,250
1980-1989,40-44,35-39,Younger daughter w/o brothers,Eldest son w/o brothers,0,47,1071
1980-1989,40-44,35-39,Younger daughter w/o brothers,Eldest son w/ brothers,0,47,1083
1980-1989,40-44,35-39,Younger daughter w/o brothers,Younger son,0,47,2095
1980-1989,40-44,35-39,Daughter w/ brothers,Only child,0,397,250
1980-1989,40-44,35-39,Daughter w/ brothers,Eldest son w/o brothers,0,397,1071
1980-1989,40-44,35-39,Daughter w/ brothers,Eldest son w/ brothers,1,396.5,1082.5
1980-1989,40-44,35-39,Daughter w/ brothers,Younger son,1,396.5,2094.5
1980-1989,40-44,40-44,Only child,Only child,0,20,59
1980-1989,40-44,40-44,Only child,Eldest son w/o brothers,0,20,185
1980-1989,40-44,40-44,Only child,Eldest son w/ brothers,0,20,219
1980-1989,40-44,40-44,Only child,Younger son,0,20,384
1980-1989,40-44,40-44,Eldest daughter w/o brothers,Only child,0,33,59
1980-1989,40-44,40-44,Eldest daughter w/o brothers,Eldest son w/o brothers,0,33,185
1980-1989,40-44,40-44,Eldest daughter w/o brothers,Eldest son w/ brothers,0,33,219
1980-1989,40-44,40-44,Eldest daughter w/o brothers,Younger son,0,33,384
1980-1989,40-44,40-44,Younger daughter w/o brothers,Only child,0,47,59
1980-1989,40-44,40-44,Younger daughter w/o brothers,Eldest son w/o brothers,0,47,185
1980-1989,40-44,40-44,Younger daughter w/o brothers,Eldest son w/ brothers,0,47,219
1980-1989,40-44,40-44,Younger daughter w/o brothers,Younger son,0,47,384
1980-1989,40-44,40-44,Daughter w/ brothers,Only child,0,397,59
1980-1989,40-44,40-44,Daughter w/ brothers,Eldest son w/o brothers,2,396,184
1980-1989,40-44,40-44,Daughter w/ brothers,Eldest son w/ brothers,0,397,219
1980-1989,40-44,40-44,Daughter w/ brothers,Younger son,0,397,384
1980-1989,40-44,45-49,Only child,Only child,0,20,4
1980-1989,40-44,45-49,Only child,Eldest son w/o brothers,0,20,13
1980-1989,40-44,45-49,Only child,Eldest son w/ brothers,0,20,30
1980-1989,40-44,45-49,Only child,Younger son,0,20,40
1980-1989,40-44,45-49,Eldest daughter w/o brothers,Only child,0,33,4
1980-1989,40-44,45-49,Eldest daughter w/o brothers,Eldest son w/o brothers,0,33,13
1980-1989,40-44,45-49,Eldest daughter w/o brothers,Eldest son w/ brothers,0,33,30
1980-1989,40-44,45-49,Eldest daughter w/o brothers,Younger son,0,33,40
1980-1989,40-44,45-49,Younger daughter w/o brothers,Only child,0,47,4
1980-1989,40-44,45-49,Younger daughter w/o brothers,Eldest son w/o brothers,0,47,13
1980-1989,40-44,45-49,Younger daughter w/o brothers,Eldest son w/ brothers,0,47,30
1980-1989,40-44,45-49,Younger daughter w/o brothers,Younger son,0,47,40
1980-1989,40-44,45-49,Daughter w/ brothers,Only child,0,397,4
1980-1989,40-44,45-49,Daughter w/ brothers,Eldest son w/o brothers,0,397,13
1980-1989,40-44,45-49,Daughter w/ brothers,Eldest son w/ brothers,3,395.5,28.5
1980-1989,40-44,45-49,Daughter w/ brothers,Younger son,0,397,40
1980-1989,45-49,15-19,Only child,Only child,0,0,8697
1980-1989,45-49,15-19,Only child,Eldest son w/o brothers,0,0,40052
1980-1989,45-49,15-19,Only child,Eldest son w/ brothers,0,0,31116
1980-1989,45-49,15-19,Only child,Younger son,0,0,34007
1980-1989,45-49,15-19,Eldest daughter w/o brothers,Only child,0,1,8697
1980-1989,45-49,15-19,Eldest daughter w/o brothers,Eldest son w/o brothers,0,1,40052
1980-1989,45-49,15-19,Eldest daughter w/o brothers,Eldest son w/ brothers,0,1,31116
1980-1989,45-49,15-19,Eldest daughter w/o brothers,Younger son,0,1,34007
1980-1989,45-49,15-19,Younger daughter w/o brothers,Only child,0,3,8697
1980-1989,45-49,15-19,Younger daughter w/o brothers,Eldest son w/o brothers,0,3,40052
1980-1989,45-49,15-19,Younger daughter w/o brothers,Eldest son w/ brothers,0,3,31116
1980-1989,45-49,15-19,Younger daughter w/o brothers,Younger son,0,3,34007
1980-1989,45-49,15-19,Daughter w/ brothers,Only child,0,40,8697
1980-1989,45-49,15-19,Daughter w/ brothers,Eldest son w/o brothers,0,40,40052
1980-1989,45-49,15-19,Daughter w/ brothers,Eldest son w/ brothers,0,40,31116
1980-1989,45-49,15-19,Daughter w/ brothers,Younger son,0,40,34007
1980-1989,45-49,20-24,Only child,Only child,0,0,7406
1980-1989,45-49,20-24,Only child,Eldest son w/o brothers,0,0,33755
1980-1989,45-49,20-24,Only child,Eldest son w/ brothers,0,0,26002
1980-1989,45-49,20-24,Only child,Younger son,0,0,30499
1980-1989,45-49,20-24,Eldest daughter w/o brothers,Only child,0,1,7406
1980-1989,45-49,20-24,Eldest daughter w/o brothers,Eldest son w/o brothers,0,1,33755
1980-1989,45-49,20-24,Eldest daughter w/o brothers,Eldest son w/ brothers,0,1,26002
1980-1989,45-49,20-24,Eldest daughter w/o brothers,Younger son,0,1,30499
1980-1989,45-49,20-24,Younger daughter w/o brothers,Only child,0,3,7406
1980-1989,45-49,20-24,Younger daughter w/o brothers,Eldest son w/o brothers,0,3,33755
1980-1989,45-49,20-24,Younger daughter w/o brothers,Eldest son w/ brothers,0,3,26002
1980-1989,45-49,20-24,Younger daughter w/o brothers,Younger son,0,3,30499
1980-1989,45-49,20-24,Daughter w/ brothers,Only child,0,40,7406
1980-1989,45-49,20-24,Daughter w/ brothers,Eldest son w/o brothers,0,40,33755
1980-1989,45-49,20-24,Daughter w/ brothers,Eldest son w/ brothers,0,40,26002
1980-1989,45-49,20-24,Daughter w/ brothers,Younger son,0,40,30499
1980-1989,45-49,25-29,Only child,Only child,0,0,3929
1980-1989,45-49,25-29,Only child,Eldest son w/o brothers,0,0,19083
1980-1989,45-49,25-29,Only child,Eldest son w/ brothers,0,0,14924
1980-1989,45-49,25-29,Only child,Younger son,0,0,20944
1980-1989,45-49,25-29,Eldest daughter w/o brothers,Only child,0,1,3929
1980-1989,45-49,25-29,Eldest daughter w/o brothers,Eldest son w/o brothers,0,1,19083
1980-1989,45-49,25-29,Eldest daughter w/o brothers,Eldest son w/ brothers,0,1,14924
1980-1989,45-49,25-29,Eldest daughter w/o brothers,Younger son,0,1,20944
1980-1989,45-49,25-29,Younger daughter w/o brothers,Only child,0,3,3929
1980-1989,45-49,25-29,Younger daughter w/o brothers,Eldest son w/o brothers,0,3,19083
1980-1989,45-49,25-29,Younger daughter w/o brothers,Eldest son w/ brothers,0,3,14924
1980-1989,45-49,25-29,Younger daughter w/o brothers,Younger son,0,3,20944
1980-1989,45-49,25-29,Daughter w/ brothers,Only child,0,40,3929
1980-1989,45-49,25-29,Daughter w/ brothers,Eldest son w/o brothers,0,40,19083
1980-1989,45-49,25-29,Daughter w/ brothers,Eldest son w/ brothers,0,40,14924
1980-1989,45-49,25-29,Daughter w/ brothers,Younger son,0,40,20944
1980-1989,45-49,30-34,Only child,Only child,0,0,1059
1980-1989,45-49,30-34,Only child,Eldest son w/o brothers,0,0,5526
1980-1989,45-49,30-34,Only child,Eldest son w/ brothers,0,0,4809
1980-1989,45-49,30-34,Only child,Younger son,0,0,8644
1980-1989,45-49,30-34,Eldest daughter w/o brothers,Only child,0,1,1059
1980-1989,45-49,30-34,Eldest daughter w/o brothers,Eldest son w/o brothers,0,1,5526
1980-1989,45-49,30-34,Eldest daughter w/o brothers,Eldest son w/ brothers,0,1,4809
1980-1989,45-49,30-34,Eldest daughter w/o brothers,Younger son,0,1,8644
1980-1989,45-49,30-34,Younger daughter w/o brothers,Only child,0,3,1059
1980-1989,45-49,30-34,Younger daughter w/o brothers,Eldest son w/o brothers,0,3,5526
1980-1989,45-49,30-34,Younger daughter w/o brothers,Eldest son w/ brothers,0,3,4809
1980-1989,45-49,30-34,Younger daughter w/o brothers,Younger son,0,3,8644
1980-1989,45-49,30-34,Daughter w/ brothers,Only child,0,40,1059
1980-1989,45-49,30-34,Daughter w/ brothers,Eldest son w/o brothers,0,40,5526
